[ 3685.346048] avd 269080000.avd: f4f90000 | hdr_9c_pps_tile_addr_lsb8[3]
[ 3685.352584] avd 269080000.avd:        0 | hdr_9c_pps_tile_addr_lsb8[3] (high)
[ 3685.359734] avd 269080000.avd:        0 | cm3_dma_config_5
[ 3685.365231] avd 269080000.avd: fdc00000 | hdr_210_y_addr_lsb8[0]
[ 3685.371247] avd 269080000.avd:        0 | hdr_210_y_addr_lsb8[0] (high)
[ 3685.377875] avd 269080000.avd:       28 | hdr_218_width_align
[ 3685.383636] avd 269080000.avd: fdc39800 | hdr_214_uv_addr_lsb8[0]
[ 3685.389735] avd 269080000.avd:        0 | hdr_214_uv_addr_lsb8[0] (high)
[ 3685.396449] avd 269080000.avd:       28 | hdr_21c_width_align
[ 3685.402206] avd 269080000.avd:        0 | cm3_mark_end_section
[ 3685.408049] avd 269080000.avd:  16f027f | hdr_54_height_width
[ 3685.413804] avd 269080000.avd:        0 | cm3_dma_config_6
[ 3685.419296] avd 269080000.avd: fce18000 | hdr_9c_pps_tile_addr_lsb8[7]
[ 3685.425837] avd 269080000.avd:        0 | hdr_9c_pps_tile_addr_lsb8[7] (high)
[ 3685.432990] avd 269080000.avd: fdcce400 | hdr_bc_sps_tile_addr_lsb8[0]
[ 3685.439531] avd 269080000.avd:        0 | hdr_bc_sps_tile_addr_lsb8[0] (high)
[ 3685.446681] avd 269080000.avd:        0 | cm3_dma_config_7
[ 3685.452180] avd 269080000.avd:        0 | cm3_dma_config_8
[ 3685.457674] avd 269080000.avd:        0 | cm3_dma_config_9
[ 3685.463167] avd 269080000.avd:        0 | cm3_dma_config_a
[ 3685.468672] avd 269080000.avd:  1000002 | hdr_d0_ref_hdr
[ 3685.473980] avd 269080000.avd:        0 | cm3_mark_end_section_scl
[ 3685.480170] avd 269080000.avd: 2d820000 | slc_a7c_cmd_set_coded_slice
[ 3685.486649] avd 269080000.avd: fef00003 | slc_a84_slice_addr_low
[ 3685.492641] avd 269080000.avd:      10f | slc_a88_slice_hdr_size
[ 3685.498681] avd 269080000.avd: 2c000000 | cm3_cmd_exec_mb_vp
[ 3685.504330] avd 269080000.avd: 2d906000 | slc_a70_cmd_quant_param
[ 3685.510443] avd 269080000.avd: 2da30000 | slc_a74_cmd_deblocking_filter
[ 3685.517058] avd 269080000.avd: 2dc00000 | slc_6e8_cmd_ref_list_0
[ 3685.523080] avd 269080000.avd: 2dd00000 | slc_76c_cmd_weights_denom
[ 3685.529358] avd 269080000.avd: 2a000000 | cm3_cmd_set_mb_dims
[ 3685.535112] avd 269080000.avd:    16027 | cm3_set_mb_dims
[ 3685.540519] avd 269080000.avd: 2d018000 | slc_6e4_cmd_ref_type
[ 3685.546366] avd 269080000.avd: 2b000400 | cm3_cmd_inst_fifo_end
[ 3685.552585] avd 269080000.avd: 2b000100 | inst_fifo_start
[ 3685.557709] avd 269080000.avd: 2db012e0 | hdr_34_start_hdr
[ 3685.563193] avd 269080000.avd:  1000000 | hdr_38_mode
[ 3685.568248] avd 269080000.avd:  16f027f | hdr_3c_height_width
[ 3685.574007] avd 269080000.avd:        0 | hdr_40_zero
[ 3685.579065] avd 269080000.avd:   2d004f | hdr_28_height_width_shift3
[ 3685.585429] avd 269080000.avd:  1002801 | hdr_2c_sps_param
[ 3685.590922] avd 269080000.avd:   200000 | hdr_44_flags
[ 3685.596067] avd 269080000.avd:        0 | hdr_48_chroma_qp_index_offset
[ 3685.602697] avd 269080000.avd:   30000a | hdr_58_const_3a
[ 3685.608100] avd 269080000.avd:        0 | cm3_dma_config_1
[ 3685.613595] avd 269080000.avd:        0 | cm3_dma_config_2
[ 3685.619089] avd 269080000.avd:        0 | zero
[ 3685.623538] avd 269080000.avd: fcfa0000 | hdr_9c_pps_tile_addr_lsb8[0]
[ 3685.630081] avd 269080000.avd:        0 | hdr_9c_pps_tile_addr_lsb8[0] (high)
[ 3685.637232] avd 269080000.avd:        0 | cm3_dma_config_3
[ 3685.642729] avd 269080000.avd:        0 | cm3_dma_config_4
[ 3685.648217] avd 269080000.avd:        0 | zero
[ 3685.652668] avd 269080000.avd: fcf98000 | hdr_9c_pps_tile_addr_lsb8[1]
[ 3685.659209] avd 269080000.avd:        0 | hdr_9c_pps_tile_addr_lsb8[1] (high)
[ 3685.666364] avd 269080000.avd: fce98000 | hdr_9c_pps_tile_addr_lsb8[2]
[ 3685.672900] avd 269080000.avd:        0 | hdr_9c_pps_tile_addr_lsb8[2] (high)
[ 3685.680050] avd 269080000.avd: f4f90000 | hdr_9c_pps_tile_addr_lsb8[3]
[ 3685.686594] avd 269080000.avd:        0 | hdr_9c_pps_tile_addr_lsb8[3] (high)
[ 3685.693739] avd 269080000.avd:        0 | cm3_dma_config_5
[ 3685.699238] avd 269080000.avd: fdb00000 | hdr_210_y_addr_lsb8[0]
[ 3685.705253] avd 269080000.avd:        0 | hdr_210_y_addr_lsb8[0] (high)
